SKU,Units,Retailer,StartDate,EndDate,SourceFile
BGXF50,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZD17,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZD21,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZC17,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZC21,1.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZL17,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZL21,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZL21B,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZAA25,1.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZAA30,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZTHWF,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZTH ,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZRMWF,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EGLAI1,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
D3.5-MG,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
MMR32,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
MMR1G,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
MMR2G,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
MMR4G,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
PenaShield SC,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
Webout 32oz,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
Webout 1 Gal,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
MRB4,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
NB4,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
FBA17oz,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
ORU-PDL-4PIECE,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
ORU-CFP-4PIECE,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
ORU-LAKE-B,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
SBP99,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
PPS24KIT,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
PCAP44,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
PCAP66,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4430,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4442,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4442C12,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4442S72,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4642,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4642C8,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
4660,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
6642,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
6642C6,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
6660,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
6660C6,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
PW-4PK,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
123119,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TS500-2P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TS500-4P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TS500-8P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TSHD750-2P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TSHD750-4P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TSHD750-8P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TS20RE-2P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TS24HDRE-2P,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
TSOR,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
WSPRO,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
WS095,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
WSRING,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
WSMM,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
WSMMT,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
WSPL,0.0,Tractor Supply,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
